id,company_id,name,clid,color,color_id,status,managers,subdivisions
7429,1525,Старший кассир,nan,#D1F3FF,1,1,[],[]
7441,1525,Специалист финансового отдела,nan,#D1F3FF,1,1,[],[]
7443,1525,Юрисконсульт,nan,#D1F3FF,1,1,[],[]
16071,1525,Специалист по досудебному урегулированию споров,nan,#D1F3FF,1,1,[],[]
15790,1525,Главный бухгалтер,nan,#D1F3FF,1,1,[],[]
9162,1525,Сетевой администратор,nan,#D1F3FF,1,1,[],[]
7371,1525,Руководитель группы по таможенному оформлению,nan,#D1F3FF,1,1,[],[]
16072,1525,Диспетчер по транспортной логистике,nan,#D1F3FF,1,1,[],[]
16073,1525,Менеджер по транспортной логистике,nan,#D1F3FF,1,1,[],[]
44955,1525,Технический сотрудник (час),nan,#D1F3FF,1,1,[],[]
7394,1525,Системный администратор,nan,#D1F3FF,1,1,[],[]
7381,1525,Проектировщик,nan,#D1F3FF,1,1,[],[]
16152,1525,Разработчик 1С,nan,#D1F3FF,1,1,[],[]
16154,1525,"Сборщик группы сбора ""Мезонин"" (ССОТ)",nan,#D1F3FF,1,1,[],[]
16155,1525,"Сборщик группы сбора ""Стеллаж"" (ССОТ)",nan,#D1F3FF,1,1,[],[]
10997,1525,Сотрудник торгового зала,nan,#D1F3FF,1,1,[],[]
11004,1525,Продавец-ревизор,nan,#D1F3FF,1,1,[],[]
45000,1525,Руководитель секции развития E-com,nan,#D1F3FF,1,1,[],[]
5651,1525,HR-директор,nan,#2898FF,271,1,[],[]
45014,1525,Специалист по кадровому делопроизводству Благовещенск,nan,#D1F3FF,1,1,[],[]
16309,1525,Руководитель группы кадрового делопроизводства (магазины),nan,#D1F3FF,1,1,[],[]
16310,1525,Руководитель группы кадрового делопроизводства (офис/РЦ),nan,#D1F3FF,1,1,[],[]
11712,1525,Флор-плэнер,nan,#D1F3FF,1,1,[],[]
16311,1525,Специалист по кадровому делопроизводству (РЦ),nan,#D1F3FF,1,1,[],[]
16388,1525,Ведущий специалист по кадровому делопроизводству (запад),nan,#D1F3FF,1,1,[],[]
16389,1525,Специалист по кадровому делопроизводству (офис),nan,#D1F3FF,1,1,[],[]
19122,1525,Web-дизайнер,nan,#D1F3FF,1,1,[],[]
5663,1525,Руководитель отдела кадрового делопроизводства,nan,#2898FF,271,1,[],[]
7396,1525,Водитель-экспедитор,nan,#D1F3FF,1,1,[],[]
7407,1525,Специалист плоской печати,nan,#D1F3FF,1,1,[],[]
16432,1525,Ведущий специалист по кадровому делопроизводству (восток),nan,#D1F3FF,1,1,[],[]
10196,1525,Специалист по работе с некондиционным товаром,nan,#D1F3FF,1,1,[],[]
11954,1525,Закупщик,nan,#D1F3FF,1,1,[],[]
5612,1525,Заместитель операционного директора по развитию информационных технологий,nan,#2898FF,271,1,[],[]
6035,1525,Генеральный директор,nan,#2898FF,271,1,[],[]
6090,1525,Операционный директор,nan,#2898FF,271,1,[],[]
11713,1525,Продакт-менеджер,nan,#D1F3FF,1,1,[],[]
18381,1525,Приёмщик (ССОТ),nan,#D1F3FF,1,1,[],[]
16480,1525,аутсорс,nan,#2898FF,271,1,[],[]
7377,1525,Руководитель процессного офиса,nan,#D1F3FF,1,1,[],[]
7392,1525,Помощник генерального директора,nan,#D1F3FF,1,1,[],[]
7405,1525,Руководитель производственной мастерской,nan,#D1F3FF,1,1,[],[]
7432,1525,Коммерческий директор,nan,#D1F3FF,1,1,[],[]
7442,1525,Руководитель юридического отдела,nan,#D1F3FF,1,1,[],[]
7444,1525,Технический сотрудник,nan,#D1F3FF,1,1,[],[]
7451,1525,Специалист по таможенному оформлению,nan,#D1F3FF,1,1,[],[]
7452,1525,Старший специалист по таможенному оформлению,nan,#D1F3FF,1,1,[],[]
7476,1525,Руководитель проектного офиса,nan,#D1F3FF,1,1,[],[]
8262,1525,"Приёмосдатчик группы размещения и пополнения ""Стеллаж""",nan,#D1F3FF,1,1,[],[]
18382,1525,Сортировщик (ССОТ),nan,#D1F3FF,1,1,[],[]
44586,1525,Старший фотограф,nan,#D1F3FF,1,1,[],[]
7532,1525,Специалист по кадровому делопроизводству Владивосток,nan,#D1F3FF,1,1,[],[]
7533,1525,Специалист по кадровому делопроизводству Екатеринбург,nan,#D1F3FF,1,1,[],[]
7535,1525,Специалист по кадровому делопроизводству Красноярск,nan,#D1F3FF,1,1,[],[]
7536,1525,Специалист по кадровому делопроизводству Уссурийск,nan,#D1F3FF,1,1,[],[]
7537,1525,Специалист по кадровому делопроизводству Хабаровск,nan,#D1F3FF,1,1,[],[]
7543,1525,Специалист по кадровому делопроизводству Якутск,nan,#D1F3FF,1,1,[],[]
7551,1525,Руководитель товарного направления Toys&games,nan,#D1F3FF,1,1,[],[]
7557,1525,Менеджер по подбору персонала (розница),nan,#D1F3FF,1,1,[],[]
7562,1525,Мерчендайзер,nan,#D1F3FF,1,1,[],[]
7565,1525,Сборщик,nan,#D1F3FF,1,1,[],[]
7568,1525,Бизнес-аналитик,nan,#D1F3FF,1,1,[],[]
7569,1525,Руководитель проектов,nan,#D1F3FF,1,1,[],[]
44719,1525,Менеджер по рекламе,nan,#D1F3FF,1,1,[],[]
8263,1525,"Приёмосдатчик группы размещения и пополнения ""Мезонин""",nan,#D1F3FF,1,1,[],[]
16574,1525,Фотограф,nan,#D1F3FF,1,1,[],[]
7697,1525,serviceuser,nan,#2898FF,271,1,[],[]
45111,1525,Руководитель службы,nan,#2898FF,271,1,[],[]
45129,1525,Специалист Call-центра_1 категория (ВЛД),nan,#D1F3FF,1,1,[],[]
45130,1525,Специалист Call-центра_1 категория (ЕКТ),nan,#D1F3FF,1,1,[],[]
44796,1525,Руководитель секции маркировки,nan,#D1F3FF,1,1,[],[]
44823,1525,Тестировщик,nan,#D1F3FF,1,1,[],[]
45131,1525,Менеджер интернет-магазина_1 категория,nan,#D1F3FF,1,1,[],[]
44824,1525,Старший менеджер по развитию продукта,nan,#D1F3FF,1,1,[],[]
8258,1525,"Сборщик группы сбора ""Стеллаж""",nan,#D1F3FF,1,1,[],[]
8266,1525,Диспетчер группы аналитики и диспетчеризации,nan,#D1F3FF,1,1,[],[]
11714,1525,Спейс-плэнер,nan,#D1F3FF,1,1,[],[]
18466,1525,Специалист по разработке обучающих курсов_1_категория,nan,#D1F3FF,1,1,[],[]
44825,1525,Старший бизнес-аналитик E-com,nan,#D1F3FF,1,1,[],[]
45246,1525,Руководитель секции адаптации и введения в должность,nan,#D1F3FF,1,1,[],[]
45258,1525,Руководитель сектора прогнозирования,nan,#D1F3FF,1,1,[],[]
17460,1525,HR-менеджер (РЦ),nan,#D1F3FF,1,1,[],[]
17468,1525,HR-менеджер (офис),nan,#D1F3FF,1,1,[],[]
45332,1525,Руководитель группы оценки эффективности деятельности,nan,#D1F3FF,1,1,[],[]
45333,1525,Сотрудник торгового зала (врем.),nan,#D1F3FF,1,1,[],[]
18622,1525,Финансовый директор,nan,#D1F3FF,1,1,[],[]
12786,1525,Управляющий запасами (Магазины),nan,#D1F3FF,1,1,[],[]
17465,1525,Руководитель планово-экономического отдела,nan,#D1F3FF,1,1,[],[]
45432,1525,Администратор группы рекламаций,nan,#D1F3FF,1,1,[],[]
17466,1525,Заместитель директора по инновациям,nan,#D1F3FF,1,1,[],[]
17738,1525,Тест1,nan,#D1F3FF,1,1,[],[]
17746,1525,Руководитель тренировочного центра,nan,#D1F3FF,1,1,[],[]
18573,1525,Грузчик группы разгрузки (ССОТ),nan,#D1F3FF,1,1,[],[]
12815,1525,Управляющий запасами (РЦ),nan,#D1F3FF,1,1,[],[]
17779,1525,HR-менеджер (розница),nan,#D1F3FF,1,1,[],[]
17747,1525,Инструктор,nan,#D1F3FF,1,1,[],[]
12816,1525,Управляющий прогнозами продаж,nan,#D1F3FF,1,1,[],[]
17895,1525,Сборщик интернет-заказов,nan,#D1F3FF,1,1,[],[]
17898,1525,Контролёр (ССОТ),nan,#D1F3FF,1,1,[],[]
10175,1525,Аудитор бизнес-процессов,nan,#D1F3FF,1,1,[],[]
10183,1525,Специалист по урегулированию вопросов поставки,nan,#D1F3FF,1,1,[],[]
10201,1525,Фактуровщик,nan,#D1F3FF,1,1,[],[]
10206,1525,Грузчик,nan,#D1F3FF,1,1,[],[]
10209,1525,Старший приёмщик,nan,#D1F3FF,1,1,[],[]
10213,1525,Комплектовщик,nan,#D1F3FF,1,1,[],[]
10214,1525,Упаковщик,nan,#D1F3FF,1,1,[],[]
10216,1525,Водитель штабелера,nan,#D1F3FF,1,1,[],[]
10217,1525,Руководитель распределительного центра,nan,#D1F3FF,1,1,[],[]
10218,1525,Заместитель руководителя распределительного центра,nan,#D1F3FF,1,1,[],[]
18117,1525,Оператор по загрузке контента,nan,#D1F3FF,1,1,[],[]
10406,1525,Сотрудник приемки,nan,#D1F3FF,1,1,[],[]
10407,1525,Администратор торгового зала,nan,#D1F3FF,1,1,[],[]
10408,1525,Заместитель управляющего магазином,nan,#D1F3FF,1,1,[],[]
10409,1525,Управляющий магазином,nan,#D1F3FF,1,1,[],[]
10410,1525,Администратор-кассир,nan,#D1F3FF,1,1,[],[]
10412,1525,Продавец-кассир,nan,#D1F3FF,1,1,[],[]
10413,1525,Менеджер пункта обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
10414,1525,Администратор приемки,nan,#D1F3FF,1,1,[],[]
10416,1525,Заведующий отделом,nan,#D1F3FF,1,1,[],[]
10427,1525,Бухгалтер по учету товарно-материальных ценностей,nan,#D1F3FF,1,1,[],[]
20162,1525,Территориальный менеджер Дивизион 3,nan,#D1F3FF,1,1,[],[]
20367,1525,Заведующий отделом обработки интернет-заказов,nan,#D1F3FF,1,1,[],[]
45631,1525,Заместитель директора по управлению недвижимостью,nan,#D1F3FF,1,1,[],[]
45636,1525,Администратор сектора ТП WMS Акселот,nan,#D1F3FF,1,1,[],[]
10646,1525,Кассир-операционист,nan,#D1F3FF,1,1,[],[]
45677,1525,Управляющий запасами и прогнозами продаж (магазины),nan,#D1F3FF,1,1,[],[]
45729,1525,Старший ревизор,nan,#D1F3FF,1,1,[],[]
45632,1525,Заместитель директора по административным вопросам,nan,#D1F3FF,1,1,[],[]
45637,1525,Администратор сектора ТП GPT,nan,#D1F3FF,1,1,[],[]
45739,1525,Сотрудник торгового зала (врем.ночь),nan,#D1F3FF,1,1,[],[]
11606,1525,Руководитель товарного направления Baby world,nan,#D1F3FF,1,1,[],[]
45638,1525,Руководитель сектора ТП ОМС Starfish24,nan,#D1F3FF,1,1,[],[]
45748,1525,Технический писатель,nan,#D1F3FF,1,1,[],[]
20582,1525,Территориальный менеджер Дивизион 6,nan,#D1F3FF,1,1,[],[]
45639,1525,Администратор сектора ТП PIMcore,nan,#D1F3FF,1,1,[],[]
19780,1525,Бизнес-аналитик E-com,nan,#D1F3FF,1,1,[],[]
45640,1525,Руководитель сектора ТП 1С УТ,nan,#D1F3FF,1,1,[],[]
45827,1525,Руководитель сектора администрирования серверов,nan,#D1F3FF,1,1,[],[]
45842,1525,Специалист контроля качества на РЦ,nan,#D1F3FF,1,1,[],[]
45845,1525,Специалист по разработке обучающих курсов_высшая_категория,nan,#D1F3FF,1,1,[],[]
45858,1525,"Менеджер по рекламе Дивизион 3,4",nan,#D1F3FF,1,1,[],[]
12328,1525,Специалист по кассовым системам,nan,#D1F3FF,1,1,[],[]
45905,1525,Специалист по воинскому учету,nan,#D1F3FF,1,1,[],[]
45641,1525,Администратор сектора ТП Bitrix ИМ,nan,#D1F3FF,1,1,[],[]
45828,1525,Руководитель сектора администрирования сетей,nan,#D1F3FF,1,1,[],[]
45843,1525,Администратор сектора продвижения МП,nan,#D1F3FF,1,1,[],[]
45859,1525,"Менеджер по рекламе Дивизион 5,6",nan,#D1F3FF,1,1,[],[]
20320,1525,Специалист по выдаче интернет-заказов,nan,#D1F3FF,1,1,[],[]
45860,1525,"Менеджер по рекламе Дивизион 7,8",nan,#D1F3FF,1,1,[],[]
45861,1525,Руководитель сектора разработки материалов по продвижению,nan,#D1F3FF,1,1,[],[]
13366,1525,Системный аналитик,nan,#D1F3FF,1,1,[],[]
13481,1525,Трейд-маркетолог,nan,#D1F3FF,1,1,[],[]
23908,1525,Директор,nan,#D1F3FF,1,1,[],[]
20115,1525,Территориальный менеджер Дивизион 2,nan,#D1F3FF,1,1,[],[]
19639,1525,Руководитель отдела развития E-com,nan,#D1F3FF,1,1,[],[]
14425,1525,Руководитель Службы владельческого контроля,nan,#D1F3FF,1,1,[],[]
20209,1525,Территориальный менеджер Дивизион 4,nan,#D1F3FF,1,1,[],[]
15281,1525,Дизайнер,nan,#D1F3FF,1,1,[],[]
20535,1525,Территориальный менеджер Дивизион 5,nan,#D1F3FF,1,1,[],[]
15398,1525,Контролер-охранник КПП,nan,#D1F3FF,1,1,[],[]
15399,1525,Контролер-охранник склада,nan,#D1F3FF,1,1,[],[]
15412,1525,Руководитель группы кассовых систем,nan,#D1F3FF,1,1,[],[]
15476,1525,Старший технолог (одежда),nan,#D1F3FF,1,1,[],[]
15477,1525,Технолог (одежда),nan,#D1F3FF,1,1,[],[]
15479,1525,Технолог (обувь),nan,#D1F3FF,1,1,[],[]
20723,1525,Региональный менеджер по розничным продажам,nan,#D1F3FF,1,1,[],[]
23960,1525,Помощник руководителя,nan,#D1F3FF,1,1,[],[]
20784,1525,Руководитель отдела автоматизации и методологии,nan,#D1F3FF,1,1,[],[]
21229,1525,Специалист по претензионной работе,nan,#D1F3FF,1,1,[],[]
23806,1525,Менеджер ВЭД,nan,#D1F3FF,1,1,[],[]
21342,1525,Менеджер интернет-магазина,nan,#D1F3FF,1,1,[],[]
21390,1525,Специалист по данным,nan,#D1F3FF,1,1,[],[]
21928,1525,Диспетчер отдела приемки,nan,#D1F3FF,1,1,[],[]
22412,1525,E-com директор,nan,#D1F3FF,1,1,[],[]
22879,1525,Руководитель отдела продвижения,nan,#D1F3FF,1,1,[],[]
17464,1525,Координатор онлайн обучения,nan,#D1F3FF,1,1,[],[]
23116,1525,Аналитик 1С,nan,#D1F3FF,1,1,[],[]
23168,1525,Руководитель отдела технической поддержки,nan,#D1F3FF,1,1,[],[]
23528,1525,Руководитель отдела юридического сопровождения,nan,#D1F3FF,1,1,[],[]
24121,1525,Руководитель административного управления,nan,#D1F3FF,1,1,[],[]
24227,1525,Руководитель отдела транспортной логистики,nan,#D1F3FF,1,1,[],[]
24922,1525,Руководитель секции кадрового учета,nan,#D1F3FF,1,1,[],[]
25024,1525,Руководитель отдела коммуникаций,nan,#D1F3FF,1,1,[],[]
26284,1525,Руководитель отдела продвижения ИМ,nan,#D1F3FF,1,1,[],[]
26746,1525,Руководитель отдела понимания Интернет-магазина,nan,#D1F3FF,1,1,[],[]
26848,1525,Менеджер секции каталога,nan,#D1F3FF,1,1,[],[]
27001,1525,Руководитель секции оформления карточек товара,nan,#D1F3FF,1,1,[],[]
27409,1525,Руководитель отдела продаж через Интернет-магазин,nan,#D1F3FF,1,1,[],[]
27562,1525,Руководитель секции обеспечения продаж,nan,#D1F3FF,1,1,[],[]
28174,1525,Дизайнер сектора разработки материалов по продвижению,nan,#D1F3FF,1,1,[],[]
28582,1525,Руководитель секции рекламы в СМИ (подивизионно),nan,#D1F3FF,1,1,[],[]
28633,1525,Руководитель секции наружной рекламы (подивизионно),nan,#D1F3FF,1,1,[],[]
28991,1525,Администратор сектора таргетинга,nan,#D1F3FF,1,1,[],[]
29049,1525,Руководитель службы функционального развития бизнес-систем,nan,#D1F3FF,1,1,[],[]
29100,1525,Руководитель группы системного анализа,nan,#D1F3FF,1,1,[],[]
29151,1525,Руководитель группы управления данными,nan,#D1F3FF,1,1,[],[]
29202,1525,Руководитель группы функционального развития 1С,nan,#D1F3FF,1,1,[],[]
29253,1525,Тестировщик 1С,nan,#D1F3FF,1,1,[],[]
29304,1525,Руководитель группы функционального развития бизнес-систем (кроме 1С),nan,#D1F3FF,1,1,[],[]
29406,1525,Разработчик бизнес-систем,nan,#D1F3FF,1,1,[],[]
29457,1525,Веб-разработчик,nan,#D1F3FF,1,1,[],[]
29764,1525,Руководитель секции контроля качества в магазине,nan,#D1F3FF,1,1,[],[]
30478,1525,Руководитель отдела продаж,nan,#D1F3FF,1,1,[],[]
30580,1525,Руководитель секции управления флорпланами,nan,#D1F3FF,1,1,[],[]
30631,1525,Руководитель секции управления остатками на магазинах (подивизионно),nan,#D1F3FF,1,1,[],[]
30961,1525,Администратор секции SMM-продвижения,nan,#D1F3FF,1,1,[],[]
31114,1525,Руководитель отдела доходов,nan,#D1F3FF,1,1,[],[]
31420,1525,Руководитель отдела расходов,nan,#D1F3FF,1,1,[],[]
44393,1525,Старший специалист плоскостной печати,nan,#D1F3FF,1,1,[],[]
31879,1525,Руководитель секции заработной платы,nan,#D1F3FF,1,1,[],[]
32134,1525,Руководитель секции контроля товарных остатков (подивизионно),nan,#D1F3FF,1,1,[],[]
32236,1525,"Специалист сектора учета услуг, материалов, ОС (магазины)",nan,#D1F3FF,1,1,[],[]
32287,1525,"Специалист сектора учета услуг, материалов, ОС (ГО и РЦ)",nan,#D1F3FF,1,1,[],[]
32338,1525,Специалист по учету транспортных услуг,nan,#D1F3FF,1,1,[],[]
32389,1525,"Руководитель сектора учета услуг, материалов, ОС",nan,#D1F3FF,1,1,[],[]
32491,1525,Руководитель сектора учета товара,nan,#D1F3FF,1,1,[],[]
32542,1525,Специалист сектора учета товара,nan,#D1F3FF,1,1,[],[]
33267,1525,Руководитель секции открытия новых магазинов,nan,#D1F3FF,1,1,[],[]
33471,1525,Администратор секции технической эксплуатации магазинов и ГО,nan,#D1F3FF,1,1,[],[]
33573,1525,Руководитель отдела по работе с партнерами,nan,#D1F3FF,1,1,[],[]
33829,1525,Специалист отдела расходов,nan,#D1F3FF,1,1,[],[]
34084,1525,Руководитель группы договорных правоотношений по хозяйственной деятельности,nan,#D1F3FF,1,1,[],[]
34186,1525,Администратор группы арендных правоотношений,nan,#D1F3FF,1,1,[],[]
34441,1525,Руководитель группы охраны РЦ,nan,#D1F3FF,1,1,[],[]
34492,1525,Руководитель отдела планирования и закупок,nan,#D1F3FF,1,1,[],[]
34543,1525,Руководитель секции планирования закупок,nan,#D1F3FF,1,1,[],[]
34645,1525,Руководитель секции поставок отечественного товара,nan,#D1F3FF,1,1,[],[]
34849,1525,Руководитель секции поставок импортного товара,nan,#D1F3FF,1,1,[],[]
35002,1525,Руководитель сектора сертификации,nan,#D1F3FF,1,1,[],[]
36290,1525,Руководитель секции техподдержки рабочих мест сотрудников,nan,#D1F3FF,1,1,[],[]
36341,1525,Специалист техподдержки,nan,#D1F3FF,1,1,[],[]
36392,1525,Руководитель секции техподдержки бизнес-систем,nan,#D1F3FF,1,1,[],[]
37718,1525,Руководитель товарного направления Garment,nan,#D1F3FF,1,1,[],[]
37769,1525,Руководитель направления Shoes,nan,#D1F3FF,1,1,[],[]
32032,1525,Администратор секции имущества,nan,#D1F3FF,1,1,[],[]
38179,1525,Руководитель секции АХО,nan,#D1F3FF,1,1,[],[]
15475,1525,Продакт-менеджер (одежда),nan,#D1F3FF,1,1,[],[]
39107,1525,Специалист склада ИТ,nan,#D1F3FF,1,1,[],[]
26335,1525,Интернет-маркетолог,nan,#D1F3FF,1,1,[],[]
29866,1525,Специалист по оценке качества,nan,#D1F3FF,1,1,[],[]
40324,1525,"Старший менеджер ВЭД (Toys&Games, Baby World)",nan,#D1F3FF,1,1,[],[]
40375,1525,Старший менеджер ВЭД (Garment & Shoes),nan,#D1F3FF,1,1,[],[]
40640,1525,Разработчик WMS,nan,#D1F3FF,1,1,[],[]
40691,1525,Ведущий разработчик 1С,nan,#D1F3FF,1,1,[],[]
41319,1525,Специалист контроля качества в магазине,nan,#D1F3FF,1,1,[],[]
41490,1525,Оператор WMS,nan,#D1F3FF,1,1,[],[]
41541,1525,"Диспетчер блока ""Меркурий""",nan,#D1F3FF,1,1,[],[]
41643,1525,Руководитель смены склада,nan,#D1F3FF,1,1,[],[]
41745,1525,Ревизор,nan,#D1F3FF,1,1,[],[]
41796,1525,Кладовщик отгрузки,nan,#D1F3FF,1,1,[],[]
41847,1525,Технический сотрудник (дежурный по РЦ),nan,#D1F3FF,1,1,[],[]
34900,1525,Руководитель секции поставок СТМ,nan,#D1F3FF,1,1,[],[]
42230,1525,Младший дизайнер,nan,#D1F3FF,1,1,[],[]
42386,1525,Специалист по внедрению,nan,#D1F3FF,1,1,[],[]
42622,1525,Администратор проекта,nan,#D1F3FF,1,1,[],[]
42908,1525,Специалист по роботизации,nan,#D1F3FF,1,1,[],[]
26539,1525,Специалист по контекстной рекламе,nan,#D1F3FF,1,1,[],[]
22556,1525,Специалист Call-центра (ЕКТ),nan,#D1F3FF,1,1,[],[]
43042,1525,Специалист Call-центра (ВЛД),nan,#D1F3FF,1,1,[],[]
43915,1525,Менеджер СТМ,nan,#D1F3FF,1,1,[],[]
43363,1525,Сотрудник торгового зала (врем.),nan,#D1F3FF,1,1,[],[]
43485,1525,Руководитель секции подбора персонала,nan,#D1F3FF,1,1,[],[]
43544,1525,Специалист колл-центра подбора,nan,#D1F3FF,1,1,[],[]
43596,1525,Оператор склада,nan,#D1F3FF,1,1,[],[]
